mlbam_id,lookup_player_name,team,avg_launch_speed,avg_bat_speed,avg_swing_length,total_pitches,home_runs,strikeouts
596103,Austin Slater,CHW,91.18,66.87,6.61,16,0,1
596115,Trevor Story,BOS,95.46,72.49,7.92,17,1,1
606466,Ketel Marte,ARI,76.57,76.04,8.14,21,1,2
607043,Brandon Nimmo,NYM,74.73,74.5,6.82,20,0,0
608348,Carson Kelly,- - -,94.5,69.42,7.02,12,0,0
608348,Carson Kelly,CHC,94.5,69.42,7.02,12,0,0
620443,Luis Torrens,NYM,50.63,66.42,7.12,13,0,1
621020,Dansby Swanson,CHC,94.0,70.61,7.24,17,0,1
621043,Carlos Correa,MIN,100.55,74.39,7.19,18,1,1
621438,Tyrone Taylor,NYM,80.93,70.54,7.32,14,0,0
621439,Byron Buxton,MIN,90.98,75.24,7.4,14,0,2
621493,Taylor Ward,LAA,67.4,60.95,6.02,28,0,0
621566,Matt Olson,ATL,87.79,71.01,7.19,21,0,1
624413,Pete Alonso,NYM,78.88,77.59,7.71,14,0,2
624431,Jose Trevino,CIN,79.49,67.18,7.13,15,0,0
624431,Jose Trevino,NYY,79.49,67.18,7.13,15,0,0
630105,Jake Cronenworth,SDP,85.32,72.46,7.07,17,1,0
641343,Jake Bauers,MIL,79.79,77.14,7.91,18,0,1
641355,Cody Bellinger,CHC,78.92,67.44,7.56,23,0,0
641355,Cody Bellinger,NYY,78.92,67.44,7.56,23,0,0
641584,Jake Fraley,CIN,79.3,68.54,7.5,16,0,2
641680,Jonah Heim,TEX,80.03,73.92,7.8,7,0,0
642201,Eli White,ATL,75.55,67.99,7.24,17,0,3
643396,Isiah Kiner-Falefa,- - -,72.87,63.75,6.38,18,0,1
643396,Isiah Kiner-Falefa,PIT,72.87,63.75,6.38,18,0,1
643446,Jeff McNeil,NYM,77.54,73.48,7.32,14,0,0
644433,Chadwick Tromp,- - -,79.17,70.38,7.92,15,0,2
644433,Chadwick Tromp,ATL,79.17,70.38,7.92,15,0,2
645277,Ozzie Albies,ATL,79.1,71.22,7.58,15,0,1
647304,Josh Naylor,ARI,83.67,71.1,7.33,13,0,1
647304,Josh Naylor,CLE,83.67,71.1,7.33,13,0,1
647351,Abraham Toro,BOS,79.48,66.18,7.46,18,0,1
647351,Abraham Toro,OAK,79.48,66.18,7.46,18,0,1
650859,Luis Rengifo,LAA,84.63,66.75,6.42,17,0,0
656180,Riley Adams,WSN,82.1,75.57,7.93,15,0,3
656775,Cedric Mullins,BAL,78.53,68.34,7.54,13,0,0
656976,Pavin Smith,ARI,92.9,66.29,7.51,18,2,1
657136,Connor Wong,BOS,92.5,75.26,7.86,15,0,0
657757,Gavin Sheets,CHW,85.26,73.01,7.31,19,0,0
657757,Gavin Sheets,SDP,85.26,73.01,7.31,19,0,0
660688,Keibert Ruiz,WSN,90.0,72.9,7.1,1,0,0
661388,William Contreras,MIL,92.16,77.02,7.42,12,0,0
663457,Lars Nootbaar,STL,97.25,77.88,7.0,13,1,0
663538,Nico Hoerner,CHC,84.15,67.1,6.94,10,0,0
663586,Austin Riley,ATL,86.83,74.03,7.34,28,0,1
663616,Trevor Larnach,MIN,98.57,65.36,6.9,20,1,1
663647,Ke'Bryan Hayes,PIT,77.04,71.56,7.19,16,0,1
663656,Kyle Tucker,CHC,81.78,73.04,7.84,11,0,0
663656,Kyle Tucker,HOU,81.78,73.04,7.84,11,0,0
663698,Joey Bart,PIT,70.42,71.2,7.48,25,0,4
663728,Cal Raleigh,SEA,85.26,74.57,8.2,16,1,1
663886,Tyler Stephenson,CIN,87.72,70.72,7.83,15,0,1
663993,Nathaniel Lowe,TEX,83.68,72.69,7.16,16,0,0
663993,Nathaniel Lowe,WSN,83.68,72.69,7.16,16,0,0
664023,Ian Happ,CHC,92.66,72.24,7.3,18,0,1
664034,Ty France,- - -,88.8,71.27,7.08,8,0,0
664034,Ty France,MIN,88.8,71.27,7.08,8,0,0
664056,Harrison Bader,MIN,81.4,70.82,6.39,15,0,1
664056,Harrison Bader,NYM,81.4,70.82,6.39,15,0,1
664059,Sam Haggerty,SEA,77.35,73.59,6.7,11,0,0
664059,Sam Haggerty,TEX,77.35,73.59,6.7,11,0,0
664238,Dylan Moore,SEA,76.3,72.8,6.5,8,0,1
665019,Kody Clemens,- - -,78.96,70.81,7.19,16,0,2
665019,Kody Clemens,PHI,78.96,70.81,7.19,16,0,2
665742,Juan Soto,NYM,90.74,75.64,7.5,18,1,1
665742,Juan Soto,NYY,90.74,75.64,7.5,18,1,1
665833,Oneil Cruz,PIT,95.0,77.03,7.42,13,0,2
666152,David Hamilton,BOS,59.06,58.09,6.32,16,0,1
666158,Gavin Lux,CIN,80.18,66.91,7.28,12,1,0
666158,Gavin Lux,LAD,80.18,66.91,7.28,12,1,0
666176,Jo Adell,LAA,82.13,79.08,7.45,23,0,1
666181,Will Benson,CIN,76.05,66.1,6.85,3,0,0
668227,Randy Arozarena,- - -,94.75,71.16,7.6,10,0,1
668227,Randy Arozarena,SEA,94.75,71.16,7.6,10,0,1
668715,Spencer Steer,CIN,86.1,70.46,7.26,19,0,0
668804,Bryan Reynolds,PIT,86.04,69.15,6.59,23,0,3
668930,Brice Turang,MIL,79.39,69.1,6.62,15,0,1
669221,Sean Murphy,ATL,87.35,70.58,7.88,22,0,1
669224,Austin Wells,NYY,86.1,72.55,7.54,23,0,1
669357,Nolan Gorman,STL,90.95,74.92,7.82,13,1,2
670042,Luke Raley,SEA,87.57,72.7,7.25,10,1,1
670092,Trenton Brooks,SDP,73.75,68.53,7.57,6,0,1
670092,Trenton Brooks,SFG,73.75,68.53,7.57,6,0,1
670242,Matt Wallner,MIN,70.6,75.45,7.08,14,0,2
670770,TJ Friedl,CIN,83.02,59.69,6.2,20,0,1
672695,Geraldo Perdomo,ARI,77.0,66.84,6.69,29,0,1
672820,Lenyn Sosa,CHW,72.28,72.04,6.89,15,0,3
673548,Seiya Suzuki,CHC,84.07,73.75,7.12,12,0,2
673962,Josh Jung,TEX,95.3,71.18,6.65,8,0,0
676116,Ryan Noda,CHW,,68.5,6.7,6,0,0
676116,Ryan Noda,OAK,,68.5,6.7,6,0,0
676475,Alec Burleson,STL,96.3,64.64,6.56,11,1,0
676724,Jared Young,NYM,82.88,73.17,7.53,15,0,2
677649,Ezequiel Duran,TEX,102.33,75.0,7.47,9,0,0
677800,Wilyer Abreu,BOS,75.38,73.66,6.91,17,0,2
677950,Alek Thomas,ARI,80.3,70.32,7.24,18,0,1
678246,Miguel Vargas,- - -,81.53,70.72,7.44,18,0,3
678246,Miguel Vargas,CHW,81.53,70.72,7.44,18,0,3
678882,Ceddanne Rafaela,BOS,96.5,70.72,7.38,9,0,1
679822,Justin Foscue,TEX,77.61,70.64,7.31,13,0,0
680574,Matt McLain,CIN,80.4,69.15,7.05,15,0,0
680776,Jarren Duran,BOS,78.0,63.32,6.91,13,0,1
680977,Brendan Donovan,STL,97.58,72.46,6.86,10,1,0
681297,Colton Cowser,BAL,73.38,58.4,5.8,10,0,0
681962,Vinny Capra,- - -,82.87,67.6,6.3,5,0,0
681962,Vinny Capra,MIL,82.87,67.6,6.3,5,0,0
682829,Elly De La Cruz,CIN,90.38,75.33,7.07,14,1,0
682928,CJ Abrams,WSN,77.67,70.32,7.19,21,0,0
683002,Gunnar Henderson,BAL,93.75,73.3,7.6,8,0,1
683011,Anthony Volpe,NYY,85.52,70.13,7.4,20,0,2
683146,Brett Baty,NYM,93.77,75.32,7.45,10,0,0
686217,Sal Frelick,MIL,83.53,66.46,7.29,17,0,0
686527,Dominic Canzone,SEA,87.65,75.08,7.48,15,1,0
686555,Isaac Collins,MIL,69.38,69.67,6.3,11,0,1
686797,Brooks Lee,MIN,80.7,68.87,7.1,9,0,0
687263,Zach Neto,LAA,98.64,70.42,6.6,7,1,0
687401,Joey Ortiz,MIL,83.33,73.8,7.65,13,0,1
687462,Spencer Horwitz,PIT,75.46,62.23,6.84,17,0,2
687462,Spencer Horwitz,TOR,75.46,62.23,6.84,17,0,2
687952,Christian Encarnacion-Strand,CIN,97.3,72.38,8.05,7,0,1
691019,Kyle Teel,CHW,93.2,68.03,6.65,13,0,1
691026,Masyn Winn,STL,73.66,67.7,7.7,16,0,1
691718,Pete Crow-Armstrong,CHC,88.9,64.0,6.48,8,0,1
691723,Coby Mayo,BAL,75.48,73.02,6.93,10,0,0
691781,Brady House,WSN,89.8,72.12,7.82,18,0,2
691785,Marcelo Mayer,BOS,76.75,72.07,7.24,20,0,2
693304,Nick Gonzales,PIT,89.02,70.79,7.45,18,0,0
694192,Jackson Chourio,MIL,73.47,74.2,7.16,18,0,1
694374,Tim Tawa,ARI,93.3,70.24,6.52,8,0,1
694384,Nolan Schanuel,LAA,79.0,69.61,6.89,20,0,2
694671,Wyatt Langford,TEX,88.48,75.56,7.39,16,0,1
695578,James Wood,WSN,95.52,79.09,8.09,19,1,2
695681,Christian Moore,LAA,81.54,71.98,6.83,22,0,1
695734,Daylen Lile,WSN,75.47,67.88,6.8,27,0,2
696285,Jacob Young,WSN,80.9,53.8,5.97,16,0,2
700337,Edgar Quero,CHW,87.84,70.28,6.92,13,0,1
701350,Roman Anthony,BOS,88.38,71.99,7.13,15,0,1
701538,Jackson Merrill,SDP,91.75,69.39,7.02,20,0,0
702284,Cole Young,SEA,82.1,66.82,6.57,11,0,1
702332,Caleb Durbin,MIL,76.0,65.8,6.64,21,0,1
702616,Jackson Holliday,BAL,81.91,70.64,7.01,19,1,2
805367,Chase Meidroth,CHW,79.62,59.86,6.74,15,0,1
807713,Matt Shaw,CHC,84.82,74.65,6.95,11,0,0
