batter,name_first,name_last,team_name
672580,maikel,garcía,KC
521692,salvador,pérez,KC
686469,vinnie,pasquantino,KC
677951,bobby,witt,KC
687363,victor,scott,KC
691023,jordan,walker,KC
686780,pedro,pagés,KC
671056,iván,herrera,KC
663697,jonathan,india,KC
681460,brooks,baldwin,CHC
668942,josh,rojas,CHC
700337,edgar,quero,CHC
670032,nicky,lopez,CHC
663538,nico,hoerner,CHC
694208,moisés,ballesteros,CHC
621020,dansby,swanson,CHC
608348,carson,kelly,CHC
683737,michael,busch,CHC
673548,seiya,suzuki,CHC
683734,andrew,vaughn,CHC
641943,joshua,palacios,CHC
678246,miguel,vargas,CHC
673357,luis,robert,CHC
663656,kyle,tucker,CHC
691718,pete,crow-armstrong,CHC
642136,matt,thaiss,CHC
805367,chase,meidroth,CHC
542932,jon,berti,CHC
624424,michael,conforto,LAD
681624,andy,pages,LAD
571970,max,muncy,LAD
669257,will,smith,LAD
624585,jorge,soler,LAD
621493,taylor,ward,LAD
660162,yoán,moncada,LAD
694384,nolan,schanuel,LAD
687263,zach,neto,LAD
641313,tim,anderson,LAD
683090,matthew,lugo,LAD
518692,freddie,freeman,LAD
605141,mookie,betts,LAD
660271,shohei,ohtani,LAD
808975,hyeseong,kim,LAD
650859,luis,rengifo,LAD
681351,logan,o'hoppe,LAD
681546,james,outman,LAD
641343,jake,bauers,MIL
694192,jackson,chourio,MIL
686217,sal,frelick,MIL
663616,trevor,larnach,MIL
543877,christian,vázquez,MIL
680577,dashawn,keirsey,MIL
668904,royce,lewis,MIL
656555,rhys,hoskins,MIL
592885,christian,yelich,MIL
661388,william,contreras,MIL
668930,brice,turang,MIL
665019,kody,clemens,MIL
680837,ryan,fitzgerald,MIL
664034,ty,france,MIL
686555,isaac,collins,MIL
702332,caleb,durbin,MIL
686797,brooks,lee,MIL
680777,ryan,jeffers,MIL
687401,joey,ortiz,MIL
650489,willi,castro,MIL
669911,michael,toglia,AZ
686668,brenton,doyle,AZ
641857,ryan,mcmahon,AZ
666971,lourdes,gurriel,AZ
682998,corbin,carroll,AZ
606466,ketel,marte,AZ
672695,geraldo,perdomo,AZ
677950,alek,thomas,AZ
672515,gabriel,moreno,AZ
696100,hunter,goodman,AZ
678662,ezequiel,tovar,AZ
687597,jordan,beck,AZ
545341,randal,grichuk,AZ
647304,josh,naylor,AZ
553993,eugenio,suárez,AZ
607732,jacob,stallings,AZ
691182,adael,amador,AZ
666160,mickey,moniak,AZ
694374,tim,tawa,AZ
642180,tyler,wade,SD
553869,elías,díaz,SD
630105,jake,cronenworth,SD
657757,gavin,sheets,SD
593428,xander,bogaerts,SD
641598,mitch,garver,SD
641487,j. p.,crawford,SD
810938,ben,williamson,SD
664238,dylan,moore,SD
665750,leody,taveras,SD
701538,jackson,merrill,SD
592518,manny,machado,SD
650333,luis,arráez,SD
456781,donovan,solano,SD
668227,randy,arozarena,SD
663728,cal,raleigh,SD
665487,fernando,tatís,SD
663604,brandon,lockridge,SD
677594,julio,rodríguez,SD
593871,jorge,polanco,SD
670156,miles,mastrobuoni,SD
642133,rowdy,tellez,SD
669394,jake,burger,TEX
664059,sam,haggerty,TEX
673962,josh,jung,TEX
543760,marcus,semien,TEX
605170,víctor,caratini,TEX
572233,christian,walker,TEX
670623,isaac,paredes,TEX
666969,adolis,garcía,TEX
592626,joc,pederson,TEX
694671,wyatt,langford,TEX
514888,josé,altuve,TEX
665161,jeremy,peña,TEX
701358,cam,smith,TEX
701305,zach,dezenzo,TEX
669701,josh,smith,TEX
641680,jonah,heim,TEX
676694,jake,meyers,TEX
673237,yainer,diaz,TEX
694497,evan,carter,TEX
609280,miguel,andújar,SF
671732,lawrence,butler,SF
640902,jhonny,pereda,SF
573262,mike,yastrzemski,SF
642715,willy,adames,SF
656305,matt,chapman,SF
808982,jung hoo,lee,SF
527038,wilmer,flores,SF
671218,heliot,ramos,SF
667670,brent,rooker,SF
691016,tyler,soderstrom,SF
680474,max,schuemann,SF
649966,luis,urías,SF
701762,nick,kurtz,SF
666149,tyler,fitzgerald,SF
672275,patrick,bailey,SF
664774,lamonte,wade,SF
668709,jj,bleday,SF
669127,shea,langeliers,SF
805779,jacob,wilson,SF
681584,david,villar,SF
